,high_comment_False
0,"무림과 황실..
황실이 더 쎕니다 아무리 힘쎈 조폭이라도 나라가 군대를 보내어 조지면 답이 안나듯 나라는 못이김.."
1,이 화 볼때마다 기분이 참 복잡함.... 허조교가 도둑질한 건 잘못인데 애초에 사회가 동성애자를 배척하지 않았으면 주용이가 집나올 일도 없고 둘이 숨어 사귈 일도 없고 허조교가 무리해서 집 생활비 다 대줄 필요도 없었고 카드 훔칠 일도 없었을 거고...... ㅠㅠㅠ
2,완성되어 있는 괴물은 이길 수 없지
3,이거 드라마로 꼭 멀리 퍼지면 좋겠다 현대사회랑 너무 똑같아
4,이제 사진 없으면 섭섭해...
5,요괸줄 알았더니 정괴였어...
6,무케에게 오늘도 심장 폭격을 당했다..
7,막짤처럼 구조자 더 없는줄 알고 나왔다가 피해자 나왔다고 하면 얼마나 정신적으로 힘드실까... 
8,"와... 자기 잘못을 올바르게 인정하니 비로소 바를 정자가
새겨지네요. 몇년간 진실을 바라보지 못해 새기지 못한 각인이... '화살은 절대 스스로를 겨냥하는 법이 없으니까' 역시 명대사입니다. 이번화는 밀도가 높네요."
9,아... 보호자가 유연이였으면....이라고 생각하는사람 몇명있나 보자 일단 1명^^
10,그와중에 악마 313 갑자기 태도 돌변한거 나만 소름돋아..? 악마로서 잘못 한번 했다고  존경하던 선배한테 저러는거봐..악마는 악마인가봄
11,"왜 춘배한테 그르냐~~!!!!춘배 괴롭히면 다죽어 쒸익,,쒸익,,!"
12,"저승사자에게 잡혀가려해도 ""미안합니다!!"" 해야될지경인데 끝판왕이 나와버리셨네."
13,체르타 또 화난걸까..
14,아...그래서 헤어지자한거구나..
15,셋 끝 죽어
16,썩 꺼져 이 썩은 감자같은 놈아
17,그 와중에 유정 삐진거 약간 풀려가지고ㅋㅋㅋㅋㅋㅋ 안절부절하는 강아지같네
18,아니 유일이는 전생에 무슨 공덕을 쌓았길래... 하... 만화지만 정말 과몰입하게된다 ´༎ຶ ۝ ༎ຶ
19,"참고로 작가님께서 트위터에 공개하신 프로필에 따르면 롤랑이의 키는 154cm라고 합니다. 이디는 167, 사빈은 179, 레넌은 176이며 보시다시피 롤랑이가 굉장히 작고 귀엽습니다."
20,"이제 업고 병원으로 달려가는자가 
남주인공인건가"
21,우리 호선이 애 취급해서 똑땅해? 애기 똒땽해요???냠냠 까까줄까 까까??
22,센 ㄹㅇ초인인게 아무라 훈련받아도 눈한쪽 날아갔는데 저래 싸우는게 가능..?
23,둘의 대화가 부족하고 아버지의 백남매를 데려온행위자체는 결국 진심이 아니였던거란 점들이 합해져서 오해의 골이 깊어질대로 깊어진거겠죠...참 안타까워요 둘은 분명 꽤 괜찮은 친구가 될수있었을거같은데
24,"이무기가 사느니 자기가 사겠데ㅋㅋㅋㅋㅋㅋㅋ

그건 그렇고 마지막에 산신령 뭔가 무섭다 싸해"
25,ㄹㅇ 이렇게 창의력 쩌는작가가 많은사람들이 알지못해서 안타깝다...아무리봐도 상위권에 있어야할 만화
26,"느낌 쎄한거
육감이라고하나
그거진짜무시못함.."
27,시작부터 오해로 단단히 틀어지는데 나중에 오해가 풀리지만 결국엔 인연이 어긋난다는 소설 내용... 이 웹툰 내용 요약한거 아닐까ㅠㅠㅠ 안돼
28,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ겁나귀엽네
29,이긴자가 정의인건 어디서나 같구나.
30,아 저 분위기 너무 좋아요ㅜㅜ새벽시간에 동네에 아무도 없고 공기도 착 가라앉아 있어서 조용하고 한적한데 친한 친구랑 그저 계속 쓸데 없는 얘기나 계속 하고 싶어서 둘다 이 핑계 저 핑계 대면서 계속 걷는거ㅜㅜ
31,그 족보교환했잖아여 유정선배족보랑 은지꺼랑 그래서 지금 훔쳐간거는 유정족보가 아니라 은지가 준 족보인거ㅇㅇ
32,치인트 특기는 역시 사람 열등감을 소름끼치면서도 설득력있게 그려내는 거ㅠㅠ 다 미친 것 같다가도 한편으로는 공감가는 서사가 있다 인하도 인호도 손민수도 저 우유잡은 놈도
33,기다리고 있었다잖아 어엉엉ㅇ ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 한나 너도 진짜 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ  사호 한나 니넨 그냥 천생연분이야 ㅠㅠㅠㅠㅠㅠㅠㅠ
34,수지는 윤호나 소현이 좋아하기보단 자기 친구들끼리 사귀면 정말 혼자 멀어지게 될까봐 무서운 것 같음ㅠㅠ 나같아도 괜히 속상하고 걱정되고 그럴듯
35,"이쯤되면 구휘 뒤통수 때려 얼굴에 화상입히고 손만 들어도 구휘 쫄게 만든 할머니의 재평가가 이뤄져야한다.
65화 참조"
36,여기서 처음에 손금보고 점쳐준 아줌마가 남자때문에 인생망할거라고? 큰일일어날거라고? 아무튼 안좋게 말했는데 여기서 손바닥 베인거때문에 손금이 달라졌으니까 설이 운명 바뀐거 아니냐고 한 베댓보고 엄청 소름돋았었는데...
37,하.. 할머니... 설이 어릴 때부터 차별했구나.. 아무리 준이가 남자아이여도 그렇지.. 설이 저때부터 힘들었겠네
38,"작가님, 그 서양풍이랑 담배피고 계시는거 외전안되나요,,,"
39,하난아ㅠㅠㅠ 하난이 죽으면 작가님 돈까스 내가 다 먹는다
40,"가을에는 단풍잎처럼 빨간색이고, 겨울엔 나뭇잎이 없으니 대머리가 되는건가요..?"
41,뚱이 성인버전
42,‘물 수’라 차가운 게 아니라 수족냉증이라 잡은 부분만 시원해지는 거였나
43,친한척 한다니.... 지가 그런말 할 처지인가...? 
44,둘 다 매력적인 캐릭턴데 단역같다. 한 명 죽고 한명이 보고하고 그걸로 인해 이단 마법사의 위험성이 뭐시기 저시기 하면서 기사단 존속하려는 교회의 음모 같은데...
45,뭐지..????? 뱀파이어된 원인이 봉우너이랑 관려ㅇㄴ있는건가요?????ㅠㅠㅠㅠ그나저나 진짜 이경이에게 마음이 있는 거였다니ㅠㅠㅠ봉원코인 확신합니다ㅠㅠㅠ아니어도 전부를 투자합니다ㅜㅠㅠ
46,ㅋㅋ무슨 쥔공이 물셔틀이여ㅋㅋ제기서 젤 강할텐데ㅋㅋㅋㅋ
47,백교수가 실패한 것도 어느 정도는 맞지 유정아빠가 유정을 이상한 애로 낙인 찍고 억누르게 했으니까 제일 문제는 유정 아빠임
48,백남매가 설이 주변정리 제대로 해주넹ㅋㅋ한명은 의도치않은거지만ㅋㅋㅋ
49,암만 그래도... 탁무이 생각도 좀 하지.. 다홍아..
50,저게 지금 교수가 체점하는게아니라 대학원생들이 체점해서 그런거같아요 그냥 저분들이 말했듯이 재미로 신청한거네 이렇게 그냥 넘김 심오하게 생각해볼 생각 안하고 그림 볼줄 아는 눈이 별로안되서 그냥 자기기준에 딱 봤을때 잘그렸다 생각하는걸 대상으로 올려서그럼
51,진짜 유정을 좋아하기 때문에 유정의 밑바닥까지 볼 준비가 돼 있다고 소리치는 설이 대존멋 멱살캐리...
52,사귀가 팔랑귀네 다믿어
53,아냐 방금 예약한거 웅이야
54,진짜 백인호가 그나마 여기저기 굴러본 짬이있어서 알고 홍준이랑 가준거라 다행이지 아니였으면.....상상도 하기싫다ㅠ노후자금도없는 부모님 그리잘되는건 아닌 마지막 창업 국수집에...여기에 다단계들어가서 제대로 망치면 정말 완전 빚더미 앉는거였는데..ㅠ
55,아 택이 애기ㅠㅠㅠㅠ 설이 구해줘놓고도 보라한테 미움받을까봐 우는 거 봐 ㄹㅇ순정남ㅠㅠㅠㅠ
56,ㅅㅂ... 수석과 차석이 한조라니 개부러워 뒤지겠다
57,진짜 개그프로 같은 거 보면 뚱뚱한 사람이랑 마른 사람이랑 비교해서 개그짜는 경우 많더라고요. 마른 사람은 예쁘다 해주고 뚱뚱한 사람한테는 살 좀 빼라는 둥의 외모 비하적 개그 같은 거. 뚱뚱한 사람에 대한 차별이라고 생각해요.
58,진짜 너무 무서울정도로 충성하는 멍뭉이같다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
59,아 먼가 인호가 겁먹은 표정으로 설이 들고 병원가는 모습 울컥한다...
60,으아...허조교가 예민한 이유가 있었네 가뜩이나 형편 어려운데 적금깨고 도둑질까지 해가면서 도와준 애인이 맨날 술퍼먹고 머리탓만 하면서 공부는 안하니...ㅂㄷㅂㄷ
61,짤순이 손묶이고 뒤로되어있는데 거수하라고하네ㅋㅋㅋㅋ
62,"다음날...
새이:웅어 어제 유미씨가 너한테 뭐라고 하신거야?
구웅: 귓속말
새이: 그러니까 귓속말로 뭐라고 했냐고
구웅: ㅇㅇ 귓속말..;"
63,우암이 어릴때 액에 의해 부모를 잃었고 다른이들을 지켜주기 위해 인간을 포기하고 산신령이 되었으나 결국 자신이 돌보고 있은 땅에서 다시 사람이 죽는 모습을 보게 되었으니 얼마나 마음이 아팠을까요
64,유정말 토씨하나 안틀림. 피해의식에 사로잡혀서 아무것도 안하고 남한텐 무례하기나하고 홍설 잡아다가 자꾸 뭐 해달라고 하는 것까지 싹다 무례함.
65,우리네 집이 어디가서 꿀릴 집이 아닐텐데..?
66,할머니 딱봐도 점쟁이아님 ㅋㅋㅋㅋㅋ?
67,자기한테 받으려고만하는 사람들에게 둘러싸여있다가 조금이라도 보답해주려고 생일언제냐고묻는 설이 어떻게 안귀여워해ㅜㅠ설아ㅜㅜ
68,전에는 했네 안했네 말 많았는데 다같이 머리가 크니까 다같이 했네!!!했어!!!! 이러는게 진짜 웃김ㅋㅋㅋㅋㄱㅋㅋ
69,뭐지... 뻘 생각인데 귀신들 이렇게 많이 살면서 왜 월세 안 내냐고 화 내긴 했는데 귀신 덕분에 집세가 싸졌으니 귀신은... 제 역할을 다한 건가.? 인간인 너희와 공존하기 위해 집세를 싸게 만들어봤어 짜잔~ ......
70,변호사 선임해서 법적처벌하세요!! 건물에 하자있으면 임차인으로서 당연히 컴플레인 걸수있는건데 뭐 저런 입으로 똥싸는소릴하시는지 저런 집주인은 사는집에 똑같은 일 생겨서 똑같은 취급 당했으면 좋겠네요
71,"성숙한것도 맞지만 
우리는 댓글로 떠드는 법을 배우지못했소"
72,같은 멤바라는 게 ㅈㄴ 싸갈탱 없네 말하는 뽄새 봐
73,지 맘 편하려고 날로 사과해놓고 피해자한테 이해하라고 하네
74,"'네가 주면 다 좋아할걸'
와씨 심멎을뻔"
75,"아니.....뭐...이딴... .....멤버라는 사람이..........그딴  소리를 하냐.같은  멤버한테,거기다가 ....파파라치........  ..,기자고 뭐고  범죄인데...."
76,이와중에 라면은 어떡하지 란 생각하는 나란인간..
77,사빈 이디 배신하면 가만안둬
78,남주연도 현실적인캐릭터라 정이간건 사실이지만 이건...정말 어떻게 그래 질투를 하느라 그랬구나라고 넘길 문제가 아니긴하죠...설이는 생명의 공포를 느꼈을수준이니까요
79,백인하한테 처음으로 고맙다는 생각이 듦ㅋㅋㅋㅋㅋㅋ
