,high_comment_True
0,유일이랑 다홍이랑 죽 잘 맞으면 재밌겠당
1,"일단 태우고 ""역시 병정개미였군"""
2,인형들 다 같이 당겨! 하는게 너무 귀여워요ㅠㅠ
3,용비 포스 오지네
4,유정 ㅠㅠ하는거 졸귀다 진짜 .......
5,"우기 표정봐..
남자들도 저런 무리수애교는 싫어하는듯"
6,헉 린다 진짜 죽은 거 맞네요... 숙주가 되면 원래 자아는 없어지니까...
7,작가 님 몸 조심하세요ㅠㅠㅠㅠㅠ 산신령도 죽지 마요ㅠㅠㅠㅠㅠㅠㅠ 내가 인정할 수 있능 산신령은 당신 한 명밖엔 없으세여ㅠㅠㅠㅠㅠㅠㅠㅠ
8,다리가 4개인 치킨은 혁신이다.
9,다 필요없다 졸귀
10,내 세포들불쌍....웜홀이있다는것도 모르고있겠지
11,크 정이 대학애들 적당히 끊어내는거 넘 통쾌
12,지금이 벌써 2019년인데 아직도 호모포비아가 있네 동성애는 생태계에서도 빈번하게 일어나는 일이지만 호모포비아는 병임ㅇㅇ
13,진짜 저런 남자 있으면 소원이 없겠다....
14,아니 여기는 무슨 다 예쁘고 잘생긴 거지??? 봐봐 가을이랑 시호 혜성이 단아 견우 태호 다 잘생기고 예뻐 너무 비현실적이야
15,도요한 여자한테 인기도 많고 잘생기고 돈도 많고 쌈도 잘하고 다정이만 바라보는 싸이코인데 결론은 간지
16,저 악마가 2호구나.. 내용이 더더 재밌어지는거같아요....ㅠㅠㅠ
17,"이번화로 인호가 그날 홍설을 부른건 유정에게 복수하려는것이 아니라 홍설에게 사실을 알리고 선택권을 주기 위함이였다는것을 볼 수 있다
그만큼 홍설을 아끼고 위한다. 그나저나 인호의 머리카락은 m자 탈모를 걱정해야할 것 같다. 
개인적으로 거기까지라고 말할때 개 슬퍼"
18,학 공주님 안기로 들려오는 잘생긴 악마랑 들고오는 존잘 천사 ㄷㄷ..
19,이거 베댓이 모든 면접에 강한 유정 이었던거 같은데ㅋㅋㅋㅋㅋ
20,악 나 이장면 진짜 몇년동안 진짜 완전 기억하고 잊지도 않고 사랑했던 장면이야
21,A를 내게 소개시켜ㅋㅋㄱㅋㄱㅋㅋㄱㅋㄱㄱㄱ
22,덮혜성 최고시다
23,자동차 장난감-> 자기 마음대로 되니까 잘 질려함 근데 설이는 유정 마음대로 잘 되지 않음 항상 예외적인 존재라는 거... 그래서 설이가 차에서 뛰쳐나갔을때 미묘하게 웃고있지 않았나
24,"미친 표지 우락이랑 중열이야?.?.?.??.?.? 중열아..,..뒷태만 봐도 난 행복해ㅜㅜㅜㅡㅜㅜㅜㅡㅜ"
25,유정은 진짜다. 졸업 앞둔 막학기에 홍설 때문에 계절학기를 듣다니;;;;;; 유정은 렬루 설이를 좋아했어ㅠㅠㅠ
26,망냥아 그 범새끼가 산군형제야........
27,헤이하치 선생 D급 팔아먹을 줄 알았는데 진짜 의외다. D급 챙기는 걸 보니까 D급만 싫은게 아니라 그냥 엘사가 싫은거였나봐
28,와 그림체 미쳤다..ㅋㅋㅋㅋ 원래 예쁘다고 생각했는데 더 예뻐질수도 있네ㅋㅋㅋㅋ 겨울왕국에 엘사같다ㄷ
29,개인적으로 이 삼자대면 너무 웃기고 좋아해요ㅋㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ달팽이랑 노는게 싸이코..인지는 잘 모르겠어요...그냥 어린애들 개미지나가면 시간가는줄모르고 멍하니 보고 건들이는 그런정도 아닌가요?ㅠ
30,"근데 다정이 인복쩐다
자신을 위해주는 양오빠 철수
친구동생을 위해 대신 맞아주는 예준이
동생 생각해주는 나연이언니
그렇니까 아빠 너 뒤져라"
31,유미 긴머리 다시 되돌리기 서명운동
32,와이프가 말리는데 기어코 목숨을 담보로 군대 후임이랑 당구치러 가겠다는 용비..
33,"이제 반 왔다. 한가지 설명하지면 이후 뒤뒤뒤부터 연재하던 잡지사가 바뀌고 분위기도 바뀐다. 이유는 처음 연재하던 잡지사는 소년지였다. 용비불패 초기설정은 굉장히 어둡고 무거운 내용이었지만 연재하게된 잡지사의 요구에 따라 애들보기 편하게 각색된게 지금까지 본 용비다. 허나 용비의 인기에 힘입어 처음 설정대로 하기 위해 청소년 잡지사로 연재를 하게 되면서 이후 내용은 진짜로 엄청난 전개로 흐른다. 코믹도 계속 이어지지만 용비과거씬, 액션씬은 지금까지와는 비교도 안된다. 그러니 기대하고 꼭 봐라"
34,그냥 내 감이지만 이번 이야기는 '질투'일거 같네...
35,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 사이다
36,옛날엔 몰랐는데 설이가 힘든 이유가 있었네... 전날 크흠....
37,"주다홍 은근 귀엽네

난첨에 유일 괴롭히는 역할거 같앗는데

이건 빼박 절친될 각인데"
38,제임수 ㅋㅋㅋㅋㅋㅋㅋㅋ 생각치도 못했다
39,홍시 취한거 보고 싶다ㅠㅠ
40,분위기 좋았는데 뽀뽀를 못했다... 보건실 안에 배신자가 있다. 이게 독자들의 결론이다.
41,아  우리 너무 멋있다......그리고 귀여워......멋있고 귀여운거 혼자 다해  ㅋㅋㅋㅋ
42,강아지들이 사람으로 변신할때면 이족보행해서 허리에 무리가 간다고 해욥. 왕자님의 체력이 안 좋아서 사람으로 몇시간 안 있어도 허리 아프다고 그러니 이디 성격상 왕자님 허리에 좋은 음식 먹으러간듯!
43,"안녕하세요 작가님.다음주 월요일에 나라의 부름을 받아 입대를 앞두는 예비 군인 입니다. 군대가기전 추억을 만들어 싶어 글을 씁니다.작가님 혹시 시간이 괜찮으시다면 재구,홍구,매미,줍줍이가 군복을 입고 시즌1표지로 손가락 뻗는게 아니라 충성 자세로 표지를 그려주신다면 감사하겠습니다"
44,와 진짜 소름
45,그와중에 태호 스윗한것 보세요 여러분ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
