,Unnamed: 0,titleId,nom,star_point,star_person,comment1,comment2,comment3,comment4,comment5,comment6,comment7,comment8,comment9,comment10,comment1e,comment2e,comment3e,comment4e,comment5e,comment6e,comment7e,comment8e,comment9e,comment10e
0,3996,709731,28,9.99,21417,유일이랑 다홍이랑 죽 잘 맞으면 재밌겠당,뭔가 둘이 또 친해질 것 같은 이 복선은 뭐죠? ㅠㅠ 좋습니다,저 의사친구 배우였구나... 근데 의사 된거면 와우..,"탁무이 스토커가 주다홍이고 일부러 따라온것같은데ㅋㅋㅋ
다짜고짜 언니라 부르면서 안쪽에 앉는다고 하면 나같아도 기분나쁠듯
둘이 되게 안맞을것같은데 댓글들 머징ㅋㅋ나만 이상한가요?",그러고보니까 스토커ㄱㅏ 탁무이 음식에 집착(?)을 많이 하네... 막 셰프이런건가 ((그럴리가,"다큐서 지한채도 곁눈질하고있는데 왜 언급안하지? 스토커일듯.. 직접 사생 못뛰는거보니 주다홍, 지한채 둘 중 하나가 스토커.",스토커가 직접 뛰지 않고 고용을 한 건 가요?,왠지 친해질거같은것도 맞고 스토커인거도 맞을거같당ㅜㅜㅜ 친해졌는데 다홍이가 스토커고 여짜처차해서 유일이가 스토커 누명쓰게되는 전개는 아니길ㅜㅜ,"스토커 지한채 삘이다,,, 주다홍은 애초에 지금까지 나온 성격상 그럴 인물이 아닌 듯",다홍이??!?!?!! 다홍이가 뭔가 무이랑 유일이 관계의 히로인이 될거같음!!!!!,True,True,True,False,True,False,False,True,False,True
1,8083,695321,31,9.99,20053,"일단 태우고 ""역시 병정개미였군""",왜 산딸기 먹는것마저 불안하냐,"더러운 것을 재로 만들라고 했잖아요, 병정개미가 아니였으면 안 탔겠죠.","근데 길몽, 흉몽중에서 고르랬으니 좋은일도 있다는거네? 설마 길몽 골랐는데 꽝이구나 이러진 않을거 아니야",산딸기가수상한데,노블레스였으면 문앞에 보초 잡는것 까지만 두달걸림,ㅋㅋ 태웠는데 병정개미 아니였으면 어쩔뻔ㅋㅋ,흉몽 고르는게 현재 안정적이던 불안하던 제일 현명한 선택이죠 안정적이라도 갑작스레 사고가 터져 내일 당장 죽어버리면 쓸모 없잖아요?? 여연이 아직 글을 몰라 흉몽을 고른 것도 다 큰그림인 듯 싶네요. 그리고 초록색 연기 나는 액체로 녹는다는 것은 아무래도 여왕개미의 산성액인 것 같네요.,길몽이랑 흉몽을모르는사람이많네...저런풀이가 베댓이되다니ㅋㅋㅋㅋ,기척을 숨긴다면서 너무 대놓고 들어가는데,True,False,False,False,False,False,True,False,True,False
2,22096,723714,95,9.99,8121,"무림과 황실..
황실이 더 쎕니다 아무리 힘쎈 조폭이라도 나라가 군대를 보내어 조지면 답이 안나듯 나라는 못이김..","일반적으로 무림과 황실은 서로에게 간섭하지 않기때문에 황실의 일인 ""전쟁""이 무림만화에서 이토록 본격적으로 그려지는일이 흔하지 않은 걸로 압니다. 더군다나 주인공은 여전히 같은 상태에서 완전히 다른 장르를 즐길 수 있는 것도 용비불패를 보는 맛 중 하나였죠. 심지어 그 작화가가 문정후님이라면 더더욱 호사가 아닐 수 없습니다!","황실이 세다 무림이 세다 그게 무의미한게 우선 무림인은 단체보다 개개인만의 무공을 익히고 그걸 사용하는거 또한 대인전용이다. 즉, 집단전에 약하다는거지. 집단적으로 익히는 것 또한 10명 남짓, 100명정도지만 군은 개인전보다 단체적으로 한순간에 기계처럼 움직여 상대진영을 섬멸하는 목적으로 훈련하는 집단전이다. 한마디로 정의 내리면 대인전으론 무림, 집단전은 군대로 결론 낼수 있다. 물론 군대에서도 용비나 대장군처럼 특출나게 무공이 강한 인물들이 있기는 하지.",황실에서도  무림비급과  견줄정도의  무공은 많습니다.  고수들도 있구요.   황실과  무림은  군대와   프로격투가 정도의 차이가 난다고 생각하시면 되겠습니다,"백파곡을 백마곡으로 본 나는 “고수”의 노예... 
고수에 쿠키를 쓰고싶다..","적성이 날라오는 집채만한 바위를 앉은자리에서 무썰듯 썰어버리고 검풍으로 진을 파헤쳐버리는것을 다들 봤지않나? 무림에서도 적성정도면 고수에 속한다. 그런 정도의 전투력을가진 자들이 떼로몰려있는게 흑색창기병대고, 그 대장은 잔월대마를 무릎꿇리고 구휘와 호각을 다투는 용비다. 확실히 보통의 군대는 아니지.",원작에선 눈깔은 안그렸던걸로 기억하는데.. 인물들 포스가 좀 떨어지는 느낌이다..,용비 왕년에 포스 쩔었네,새해복 많이받으세요,"다른 분들과 다르게 전 고수를 먼저 보고 나서 용비불패와 외전을 알게되어 전권 다 사서 봤는데 이제껏 본 만화들과는 다르게 신세계를 경험하는 기분이었습니다. 
정말 재밌어요. 특히 빠져든 시점이 흑색창기병 시절 용비 애피소드였는데 한국만화 일본 소년만화 다 포함해서 이 에피소드만큼 재밌던건 드래곤볼 프리저 편밖에 없었음
",False,True,False,True,True,True,False,True,True,True
3,18977,727191,7,9.99,16877,인형들 다 같이 당겨! 하는게 너무 귀여워요ㅠㅠ,저도 모르게 눈물이 나올 것같았네요ㅠ 뜨개방 할머님의 말씀에 저까지 위로받아서 그런가봐요,ㅠ.ㅠ ... 야곰야곰 아껴봐야 하는데 호로록 마셔버리듯 결제해버렸어... ,보면서 눈시울이 붉어졌어요... 꼭꼭 닫고있었고 숨겨놓았던 것들이 갑자기 왈칵 터지는 느낌이네요.. 당겨! 당겨! 하는데 귀엽다가도 마지막에 현이의 감정선이 마치 나같아서요..,작가님 저 실 어디가면 살 수 있나요? 따뜻한 작품 감사해요,작가님은 따뜻한 분이에요. ,넘 슬퍼ㅜㅠ 저도 뜨개방 가고싶어요 어디있나요ㅠ,울까봐 일단 말부터 걸어주시는 저 따스함... 너무 감사하고 고맙고 따뜻하네요 작가님,울고싶은데 울 곳이 없어서 다리가 아프도록 정처없이 걸어다니다가 지쳐서 지하철역 벤치에 앉았습니다. 근데 옆자리에 여자분 한분이 술취한듯 비틀비틀 걸어오더니 털퍽 소리가 나게 앉습니다. 그러더니 조금씩 어깨가 들먹이기 시작합니다. 그러다 점점 참지 못하고 흐느끼는 소리가 새어 나옵니다. 울고싶은건 난데...나도 울고싶었는데....아무나 다 같이 모여 울 수 있는 통곡의 벽이라도 있었으면 좋겠습니다. 누구의 눈치도 안보고 실컷 울 수 있게요. 아픈 사람이 너무 많은 세상입니다.,너무귀엽고 힐링돼서 그런가 왠지모르게 눈물난다 ㅠㅠㅠㅠ,True,True,True,True,True,True,True,True,True,True
4,22053,723714,52,9.99,10000,용비 포스 오지네,"아, 아닛! 저저 흑백그림에서도 보이는 반짝이는 붉은 빛! 금화경이로구만! 이야... 붉은 빛이 없었으면 못 알아 볼 뻔했네",글구보니 마교놈들도 재수 오질나게 없네. 만나는 사람마다 사천왕에 오무제에 용비까지... 이제 삼존만 만나면 쿼드라 데스!!,무모협지 광고 돌았나ㅋㅋㅋㅋㄱㄲ,종나 재밌다ㅋㅋ,멋진 모습 바로 나오네,미친ㅋㅋㅋㅋㅋㅋㅋㅋ 마지막 무모협지보고 완전 뿜었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,작가님 빠른 쾌유를 빕니다.,베댓이 왜 다 2월이야,1,True,False,False,False,True,True,True,True,False,False
5,27190,720121,131,9.99,12683,유정 ㅠㅠ하는거 졸귀다 진짜 .......,준이 진짜 얼굴은 넘 취향인데 설이 동생이라 그런지 묘하게 더 철없어보이는 면이있어서ㅋㅋㅋㅋㅋㅋㅋㅠㅜㅜ,너 방 빼 해놓고 뿌듯한 표정 봐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,아 ㅠㅠ 할때 유정 개귀여워ㅠㅠㅠㅠㅠ흐얽..,질투해서 화풀이야ㅋㅋㅈㅋㅋㄲ아유정애샛기진짜,유정이 애처럼 행동할 때 너무 취향이다ㅋㅋㅋㅋㅋ 귀여워.. 침대 위에서 인상 찌푸리는 것도 그렇고 인호랑 만나면 티격태격하는 것도 그렇고ㅋㅋㅋㅋ,아닠ㅋㅋㅋㅋㅋ유정 조 폭탄맞았는뎈ㅋㅋㅋ한명은 열등감땜에 띠껍고 두명은 무임승차 D학점 전적있잖앜ㅋㅋㅋㅋ,처음 치인트같이달릴땐 인호파였는데 다시보니까 유정이 더좋네 ㅠㅠㅠㅠ,유정 문자말투 넘딱귀여운것 ㅠㅠㅠㅠㅠㅜㅜㅜ,진짜 주변에 인하같은 사람있으면 화딱지날듯. 하는 것도 없고 해보려는 의지도 없이 사람 하나 잘 만나서 놀고먹는데.. ,True,True,True,True,True,True,True,True,False,False
6,24667,651673,29,9.99,30670,"우기 표정봐..
남자들도 저런 무리수애교는 싫어하는듯",세포들은 언제봐도 핵졸귀ㅋㅋ,5000 유미유미ㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋ,무슨짓했는지 까먹어서 전편 보고온사람,장르를 잃어버렸다,아프대잖앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 우기도 루비 애교 달가워하진않는듯,1급 모른척하기,그와중에 우기 가위내서 이김 ㅋ,"유미는 파괴광선을 썼다
효과는 굉장했다!
루비는 화상데미지를 입고있다",존나 하나도 안웃겨 이년아 진심으로 노잼이야 진짜 뺨맞고싶어? 나한테 싸대기 맞고싶어서 그런거지 진짜 너 답없다 루비야,True,False,True,True,False,True,False,True,True,False
7,13147,720121,98,9.99,14779,이 화 볼때마다 기분이 참 복잡함.... 허조교가 도둑질한 건 잘못인데 애초에 사회가 동성애자를 배척하지 않았으면 주용이가 집나올 일도 없고 둘이 숨어 사귈 일도 없고 허조교가 무리해서 집 생활비 다 대줄 필요도 없었고 카드 훔칠 일도 없었을 거고...... ㅠㅠㅠ,정이가 화내는 게 단순이 친했던 형이 동성애를 하고 있어서가 아니라 망가져있어서라고 이해하는 게 맞음 안타깝잖아 자기 눈에 허조교가 좋게 보일 리도 없고 형이 저렇게 망가져가는데 누가 좋다 하고 있어,아 눈물나 돌아가자 돌아서 가자.......,근데 허조교 적반하장인건 맞지... 나같으면 그냥 신고하고 감방 넣었음.....,설이하고 대판 싸우고 온 입장인데 눈 앞에서 저렇게 울고불고 사랑하고 있으면 진짜 나라도 화날것 같은데. 그래도 정이가 잘 참았다... ㅜㅜ,근데 정이 입장에선 허조교 입때문에 설이랑 싸우고 와서 빡치는데 눈 앞에서 둘이 신파나 찍고있으니까 게이랑 상관없이 그냥 커플이라도 졸라 빡치지... 잘 참네 정이...,아버지한테 매일 억압받고 감시당하면서 이상한놈취급을받아오던중에 어릴적 웃고다니면 다해결된다는 조언을해준 형의 현재상황을보고 웃고다녀도 해결되는건없구나 그럼 도대체어떡해야하지하면서 더화난거같은데,난 인간이니까 인간극장 찍을거래.. 이것도 진짜 치인트 명언이었는데,부와 명예를 마다할만큼 집이 지옥같았는데 다시 들어간다니 ㅠㅠ허조교의 인생을 망칠까봐 걱정되는 마음과 사랑이 너무 큰가봄,이만화에서 저 둘이 가장 트루럽인듯.. 아 눈물나ㅠㅜㅜ,False,True,True,False,False,False,False,True,True,True
8,31339,718021,34,9.99,19871,완성되어 있는 괴물은 이길 수 없지,깜장이 귀여워 미치겠네ㅋㅋㅋㅋ,성장형 괴물이라 못이긴듯,형님은 몇마리를 흡수하신겁니까;;,"근데 확실히 다현이어머님손가락반지
검은인간프로젝트 반지일가능성이 큼
1.결혼반지는 아님 결혼반지는 약지에 낌 
2.굳이 살짝만 보여줘도 되는걸 강조하는 느낌임",깜장이 이모티콘나오면 바로산다,서호 피아식별 불가능 ㅋㅋㅋㅋㅋㅋㅋ,깜장이 진짜 왜캐 귀엽냐 목발 장면때 깨물어 죽일뻔,단언컨데 이 세계관 가장 완벽한 괴물은 진혁이형님입니다.,깜장아 목발은갑자기 어데서구햇냐 ㅋㅋㅋ,False,True,False,False,True,True,False,False,True,False
9,32232,695796,82,9.99,20897,이거 드라마로 꼭 멀리 퍼지면 좋겠다 현대사회랑 너무 똑같아,"이번 기회로 륭구도 전생의 미련을 버리고 
어머니에 대한 죄책감을 털어버릴 수 있었으면....
어머니께 선물로 새 아기도 생겨서 행복하게 살았으면 ㅠㅠ..",작가님 문득 든 생각인데 제발ㅠㅠ 사연 다 끝나고 난 다음에도 장기연재 해주세요 몇 년 동안 연재해주시고 한 많은 사람들 이야기 다 들려주세요ㅠㅠㅜ,이거 드라마 된다고 해도 제발 시나리오 안건들였으면...강남미인꼴 안됬으면 좋겠다고....왜 명작을 망칠꺼면 그냥 안만드는게 나을수도,"아 진짜.. 자기가 아들인걸 숨기고 저렇게 말하는 륭구 마음은 또 ㅠㅠㅠㅠㅠ
제발 다들 행복해라ㅠㅠㅠ",༼;´༎ຶ ۝ ༎ຶ༽ 우에엥ㅇ에엘ㄹㅇ에에에에에에에에에에엘레에에에에에에이ㅜㅇ에에웅우에에에에웅우ㅜㅇ에에에엥우우에에엘우우,아진짜 가슴이 미어지는화다.....,"어머니도 힘겹고 아플테지만
신분을 밝히지도 못하고 옆에서 보고만 있는 륭구도 많이 아플 것 같다 ㅠㅠ","와중에 아기야가 엄마한테 전하고 싶은 말이 있었다는게 더 슬프네요. 동양적인 령에 대해 그렇게 인정하는 편은 아니지만 아기 영혼은 그냥 내 엄마 아빠라서 당연히 너무나도 편안한 존재라서 그냥 엄마 아빠옆에 머문다고 하지요.  자기가 죽었는지도 모르면서요. 이제 엄마 아빠 만난줄 알고. 말이죠. 

저 꼬마 아가야도 엄마를 구하고 더 좋은 곳으로 가면 좋겠네요. 엄마 품이 너무나 좋고 그립겠지만.",그 말이 생각나네요....부모 잃은 자식은 고아라고 부르지만 자식 잃은 부모를 부르는 명칭이 없다는 거.....가끔 뉴스에서 그리고 일상에서 자식을 잃은 부모님들이 슬퍼하는 장면을 보곤하는데 옆에서 보고만 있는데도 제가 다 가슴이 미어질 정도로 정말 가슴 아파하시고 슬퍼하시더라고요....아마 유화씨는 제가 예상하는 것보다 훨씬 마음 아파할 것 같아서 먹먹한 마음으로 이번 편을 봤어요. 아무쪼록 이번 에피소드에서 유화씨가 위로 받고 상처 받은 마음이 치유되었으면 좋겠네요ㅠㅠ,False,True,True,False,False,True,True,False,True,True
