,low_comment_False
0,"참다참다 화가나서 글씁니다 계속 분량 감소에
스토리전개는 눈꼽만큼도 되지않고 싸우는 장면도
적고 도대체 이게 만화를 그리는
작가의 태도이기는 한겁니까? 
독자들의 입장에서는 이런점들이  화가나는것이고
계속 댓글로 항의를 했는대도 고쳐지지않네요
계속 이딴식으로 연재하실거면 차라리 때려치세요 고치시든지 하차하시던지 둘중 하납니다 좋아요 수만큼
독자들이 화가나는것이고 부디 더이상 실망시키지 말아주세요"
1,"Sungwoo Joe:솔직히 작가님, 양심이 있으시다면 자신이 행했던 일들을 다 알린 후에 당당하게 연재를 시작하는 것이 맞지 않나요... 네이버라는 대기업 뒤에 숨은 것이 아니라요..... 
라는 베스트 댓글 1위 삭제됨 게이버 수작 부린다"
2,일어서라 1점 일어서라 분량
3,베댓 왜 지우시는거죠??? 네이버 대답해주세요 전 작가님의 잘못은 전례없는 일인 만큼 많은 대중들이 알아야 한다고 생각합니다. 스토리 작가와 그림 작가는 분업이 되어있는 관계로써 그 관계를 넘어 스토리작가의 글을 무시하고 독자적으로 연재를 하는 일은 부당하다는 것을 왜 독자들이 알면 안됩니까.. 네이버는 복귀시켰을 때의 뒷감당을 예상하지 못하셨나요? 전과에 대한 책임은 지셔야죠. 댓삭을 통한 책임회피는 옳지않습니다. 네이버담당자와 그림작가님이 보게 올랴주세요!
4,블레이드 노트라는 대작이 하나 있었는데 이만화 그림작가하고 지금은 완결난 엔드리스 글작가님 작품이었는데 중간에 여기 그림작가님이 글작가님 완전히 무시하고 지기 독단으로 스토리를 진행시켜버림 두작가님 대판 싸우고 결국 그림작가는 사과안해서 블레이드노트는 사라짐 그래놓고 다시 여기서 연재...그리 좋게보이진 않음
5,알고보니 지한이가 아닌 적이었다. 지한이라고 믿은 반장은 지한이로 변장한 적의 공격에 그만 죽고 말았다
6,오바마대통령이 이 만화보면 뭔가 불쾌할꺼같다..
7,아 진짜 가지가지한다.. 별 듣보잡으로 나타난 x세대도 마음에 안드는데 완전군장이 국보에다가 이상한 로봇에다가 지네마음대로 공진을하지않나 예전부터 자잘자잘한 설정오류에 작가님 연재하기싫으면 싫다고 하십쇼 추해집니다 점점
8,"여자들이 이 만화 지적하는게 단순 여성 임신을 다뤄서 그런게 아니라고;
1. 내용 전반적으로 이상하다 싶을정도로 환하고 코믹물스러운 분위기
2. 굳이 넣었어야 했을 샤워후 가운씬
3. 도대체 어떤 임신 숨기려는 미성년자 여자애가 아무리 열쇠사물이더라도 저렇게 테스트기 쌓아놓고있는지. 진짜 고민중이라면 테스트기 들킬까봐 쌓아놓지도 않았을 것
4. 임신문제에는 대학문제도 얽히고 걍 인생 전반적 문제인데 임신걱정보다 차일까봐 걱정
5. 청소년 임신 검색할때 나온 피흘리는 사람 묘사 찝찝;
6. 여자 몸 그리고 싶어서 구도 개같이해놓은거 티남
7. 성인여자도 임신하면 하루종일 고민하고 우울해져있는데 미성년자애가 이제 곧 성인이니까 책임질거다라는 생각을 도대체 어떤 청소년이?
8. 너무 간단하게 미래생각함 아무리 청소년이라도 자기 미래일 철저하게 생각함 특히 임신했다면.
9. 제일 큰 문제가 원치않는 청소년 임신 너무 가볍게 다룸"
9,"아 전개 이렇게 가는것도 짜증나고 독자 기만하는거 같은데
아무생각없이 보다가 발 잘린거보고 진짜 소름돋았다
그냥 하는말이 아니라 옛날부터 저런거 잘 못보는데
막 그려넣으시네.."
10,표지 일러스트 보고 1점 오지게 박습니다
11,솔직히 작가의 말에 사과 한 마디는 있을 줄 알았다.
12,웹툰 하기싫죠?
13,뭔가 어느순간부터 무표정으로 그냥 보는거같다.
14,1점 오지게 박고싶은 표지 전설을 찍네
15,?? 왜 남친한테까지 비밀로 하는 지 1도 모르겠다
16,다 제쳐놓고 임신이라는 주제를 가지고 가볍게 무슨 일상코믹물처럼 그려놓는게ㅋㅋㅋㅋㅋㅋ 주인공뿐만 아니라 주변 애들 마인드도 좀 이상함… 그나마 친구 된 타투이스트랑 간호사는 결국엔 그래 네 맘대로 해~ 이러는데 어이가 없지ㅋㅋㅋㅋㅋㅋ 그냥 주인공을 세상물정은 커녕 상식도 모르는애로 그려놓고 있잖아 수능끝난 19살이 임신했는데 남친한테 헤어지는 걸 가장 큰 문제로 여기고 엄마가 될 준비를 한다←혼자서??? 상식적으로 따져서 20살에 혼자 애기낳고 대학다니고 애를 키우고 19살 어린나이에 임신했으면 신체 걱정도 해야지 일단 낳아야지~ 알리는 건 나중에~ 이러는데 미혼모를 그냥 바보로 만들어놓잖아
17,찐따캐 둘이 대화 수준봐라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 동태미오 위주로 돌아가면 왜 만화 수준이 떨어진다는지 알겠음
