,low_comment_True
0,"2학년 2위 2반 홍진호라니..
노렸네 노렸어"
1,"어쨋든 솔직히 요즘은 동태랑 미오랑 됬으면
좋겠다 손
솔직히 은주는 좀 태빈이 생각만하고 지 안전만
챙기는 느낌 난다.."
2,남성과여성이 같이생각해야하는 임신출산을 혼자서 걱정하는것자체가 뭐라해야할 소재아님?
3,"문제가 되는 이유
1. 북한은 일제강점기때보다 더 많은 남한사람들을 죽임
2. 근데 그걸 웹툰화함
3. 정리하자면 살인범이 피해자 집 찾아온걸 웹툰화한거임"
4,원피스가 먼저 완결나겠네
5,219화에서 동태랑 조금씩 가까워질때 딱 1번 미소 지었던거랑 지금 흑화표정 비교하면 이렇게 돼버린게 너무 안타깝네요
6,퀸지은퀸은주 의자매 맺는 스토리 ㄱㄱ 발암듀오는 저승에서 지들 사랑 하라고 하셈
7,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ내웃음 이해하면 추천ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8,반장 제발 좀 일상으로 돌아가라
9,"2학년 2반 2위 홍진호를 2방에 끝내다니
2학년 2반 2위 홍진호를 2방에 끝내다니"
10,"아니ㅋㅋ245화장례식2에서 최존잘이 오디션2등햇다며
근데 왜 김원호 과거회상에서 결승전에 민이랑 붙고있냐?"
11,..네이버가 드디어 미쳤구만.. 오타쿠 정신승리 ㅇㅈ한다 개빻음
12,준우 리얼 답답하노
13,윰세포 보는 몇 년간 이렇게 진성으로 욕 나오긴 처음이네요
14,이번 화로 손절하실 분들은 최소 여기에 좋아요 찍고 가세요. 그래야 몇명 떠났는지 인구 파악이 되죠.
15,최강자전 탈락한 사람들이 이거 보면 울듯
16,"백종원 묵은지찜 레시피 


우선 넉넉한 팬위에 돼지고기를 깔아주세요.
그 위에 묵은지를 올려주세요.
대파와 청양고추는 큼지막하게 썰어주시고 양파는 슬라이스 해주시고 생강은 다져주세요.

이제 양념장을 만들어 주세요.
물 900 ml ~ 1L를 먼저 준비해주새요.
설탕 3큰술~4큰술 (소주 컵 1/2) 을 넣어주세요.
국간장 3큰술을 넣어주세요.
새우젓을 2큰술 넉넉하게 넣어주세요.
된장 반큰술을 넣어주세요.
소금은 적당하게 간을 보시고 조금만 넣어주세요.
준비된 묵은지위에 양념을 다 부어 주세요.
색감을 위해 고추가루 3큰술을 넣어주세요.
다진마늘 1큰술을 넣어주세요.

나머지 손질된 야채를 다 넣어주시고 중불에서 끓여주세요.
약 1시간 후에 국물이 졸아든 후에 드시면 돼요.
"
17,오늘내용요약:무영이가 드레인을시도함
18,블레이드 노트가 너무 보고싶다 
19,"이거 볼때 알아야 할점

1. 배경이 태국이다
2. 우리나라 만큼은 아니지만 십대 임신을 아니꼽게 보기도함
3. 태국은 십대 임신이 우리보다 흔한편이다
4. 태국과 일본에서는 우리나라처럼 비난이 있지는 않았다(라인으로 확인가능)
5. 주인공이 좀 띨빵한거지 작품이 가볍게 여길만한게 아니다.
6. 다시말하지만 태국이다"
20,오늘 내용 : 단군 환약을 먹었다. 맛있었다 끝
21,지금 상황에서는 친구가 진짜 시원한 캐릭터네. 부모님에게도 남친에게도 말해야하는게 낫지. 언제까지 숨길ㄹ려구요ㅜㅜㅜ
22,"반장 : 모두들 강하구나...
☞ 여긴 내가 낄 자리가 아닌 것 같아. 이젠 떠나야겠어

혹시라도 기대해보며 별점 10점줍니다"
23,3편을 연달아 봤는데 한 편 본거같아...
24,오늘의 내용 요약 : 포박! 가면! 부활!
25,중간에 남주가 콘돔 사올려고 했는데 여주가 오늘은 안전한 날이니까 괜찮다고 한 내용인데 다 짤렸네;;;;
26,지 은인 친구 다 죽이려했던놈을 또 마땅한 동기없이 포장질을 시도 하는 작가
27,더 고자
28,좋은 엄마가 되기 전에 엄마가 알아야 할듯
29,걍 한달있다보자고 그러던가 해서 여주 살 쫙 빼고 나타나서 만나고 해피엔딩하면 안되나...
30,어떻게 엘까지 사랑하겠어 재산을 사랑하는거지
31,아니 그러니까 혐태 저놈은 은주나 지은누나일 수도 있다는걸 알면서 공격중이라는 거지? ㅋㅋㅋㅋㅋ
32,"이의있오! 반장을 죽여버리시오!

신: 좋다."
33,아무 의미 없이 베댓이 되고 싶다
34,"작가님 다음주에라도 지은,은주 한복 서비스컷이 그려진다면 유혈사태는 일어나지 않을것입니다. 추석이잖아요 ^,^♥"
35,흔들면서 원고도 같이 흔든듯
36,돈 천만원 우습게보는순간이 우리랑 다른세계이야기
37,양영순은 콴의 냉장고에서 불의의 사고로 안타깝게 우리의 곁을 떠났고 양일순이 연재한다는게 학계의 정설
38,템자랑하고끝나네..
39,넹 3주동안 다 까놓고 이제와서 착한척 하시는 베댓님들도 수고 많으십니다!
40,난 또 낳은줄 
41,주인공 아빠가 현실적인 반응아님? ㅋㅋㅋㅋㅋ
42,"간장게장 레시피
재료 및 분량 (4인분)

암꽃게 4마리(220~250g)

간장물 국간장 2컵(500ml), 진간장 4컵(1L), 물 12컵(3L), 청주 ⅓컵, 통생강 1쪽(25g), 마른 고추 2개(6g), 깐 마늘 10개(50g), 물 2컵(500ml)

준비하기

1. 꽃게는 솔로 문질러 씻어서 물기를 뺀다.

2. 큰 통에 꽃게를 배가 위로 오도록 담는다.

3. 건고추는 반 자르고, 통마늘과 생강은 저며서 썬다.

만들기

1. 꽃게를 넣은 통에 마른 고추, 마늘, 생강을 얹은 다음 떠오르지 않게 접시로 누르고 간장물을 부어 하룻밤 놔둔다.

2. 냄비에 간장물을 쏟고 물 2컵을 섞은 다음 끓여서 차게 식힌다.

3. 식힌 간장을 꽃게통에 다시 붓고 하루 두었다가 먹는다.

TIP

게는 건져서 냉동실에 보관했다가 먹을 때 하나씩 꺼내 해동해서 먹으면 오랫동안 두고 짜지 않게 먹을 수 있다. 암꽃게는 알이 있어 수게보다 고소한 맛이 좋다."
43,근데 너무 진도가 안나가는거 나만 그렇게 느끼나....
44,확실히 주인공 커플 두뇌플레이가  칼질밖에 모르는 빡통 동재앙이랑 비교되네 ㅋㅋ 대사로 무영이 잡아내는 은주와 초보다이서여도 룰 파악해서 의심하는 지은이
45,저 암걸리는 년 좀 빨리치워라
46,월요웹툰중에 가장빨리올리셨네요
47,이번 화 보고난 후기는 딱 이거 하납니다. 어설프게 현실이랑 만화 세계관을 섞었네요...
48,근데 순덕이 개인적으로 약간 별로다...사람 목숨 갖고 장난치는거.
49,원래 백경대는.. 다 우주 탑클래스 였잖아. 공자나 가우스 같은 몇 명을 제외하면 백경대가 우주에서 제일 센 순서대로 백여명 모아온 거잖아. 그리고 그 백경대를 치우기위해 20년에 걸쳐 동급 이상으로 모아온게 신백경대고.. 그치? 근데 그후로 몇년 사이에 갑자기 백경대가 500명이 되고 그것들 다 죽자마자 또 원래 백경대보다 더 강한 천명 이상의 경호대를 모을 수가 있다고?  다른 우주에서 훔쳐오냐?
50,"솔까 뭐가 더 충격일까?
1. 애 낳고 남친 찾아가니 바람 중
2. 여친이 10달 잠수타고 니 애 낳았다고 말하기"
51,진짜 정으로 보는거다
