,Unnamed: 0,Unnamed: 0.1,titleId,nom,star_point,star_person,comment1,comment2,comment3,comment4,comment5,comment6,comment7,comment8,comment9,comment10,comment1e,comment2e,comment3e,comment4e,comment5e,comment6e,comment7e,comment8e,comment9e,comment10e
0,21592,21592,552960,192,2.75,38379,"참다참다 화가나서 글씁니다 계속 분량 감소에
스토리전개는 눈꼽만큼도 되지않고 싸우는 장면도
적고 도대체 이게 만화를 그리는
작가의 태도이기는 한겁니까? 
독자들의 입장에서는 이런점들이  화가나는것이고
계속 댓글로 항의를 했는대도 고쳐지지않네요
계속 이딴식으로 연재하실거면 차라리 때려치세요 고치시든지 하차하시던지 둘중 하납니다 좋아요 수만큼
독자들이 화가나는것이고 부디 더이상 실망시키지 말아주세요",일어서라 우리. 늘려라 분량,"진짜 이건 좀 아니지않나요??
재정비가 필요한 시기이신거 같습니다..
재미있게 보고있었는데 이제 없는 정마저 떨어지려합니다..
몇 달 좀 쉬다가 오시는게 작가님에게도 독자들에게도 좋을거 같습니다.. 진짜 아무리 생각해도 이건 독자들에게 예의가 아닌 듯 싶네요..",와 진짜 이번건 심했다... 분량 미쳤나봐,"그래도 꿋꿋이 정으로 보고있엇는데 도저히 화가나서 못참아 처음으로 진지한 글 남깁니다
작가님 처음엔 분량 내용 전개 빠삭하셧조 근데 점점 갈수록 전개속도는 느려지고 잡설명에 분량 다잡아먹고 심지어 이미 나온 설명들도 다시 넣고 인물 숨쉬는거 자잘한 부분까지 적지않은 넓이로 분량 메우고 그것마저 이젠  스크롤 몇번 내리면 끝나버리네요 이런식으로 연재를 하시는건  이건 그동안의 독자들 엿먹으라는 식으로 밖에 안보입니다
차라리 작가를 때려치우시던지 
사정이 있어서 처음부터 해명글이라도 올라왔으면 다른분들도 이정도까지 화가 안나겠죠
오늘보세요 아무리 못해도 4밑으론 안내려가던 별점이
2점때까지 떨어지는데 이런거 보면 뭔가 잘못됫다는거 못느끼시나요
..마지막 정으로 한마디 하겠습니다 제발 개선되는모습좀 보여줍시다
기분 나쁘셔도 제 글 봐주셨으면 좋겠네요.","여태껏 군소리 안하고 10점 줬는데 오늘 처음으로 1점 줬습니다. 
노블레스도 똥싸는중에도 10점 주다가 막바지에 딱 1번 1점 줬는데 더 게이머는 더 심각한데 왜 참았을까. 진작에 1점이었다","일점 줘라 우리
일점 준다 나
일점 줘라 우리
일점 준다 나",저도 지금까지는 그냥 봐왔는데 오늘은 좀 심한거같네요,네이버 웹툰 최저 별점은 돌아온 럭키짱 193화 1.99점(현재)입니다,히익 분량이 15화의 절반임;;,False,False,False,False,False,False,False,True,False,False
1,24084,24084,724431,3,3.23,31996,"Sungwoo Joe:솔직히 작가님, 양심이 있으시다면 자신이 행했던 일들을 다 알린 후에 당당하게 연재를 시작하는 것이 맞지 않나요... 네이버라는 대기업 뒤에 숨은 것이 아니라요..... 
라는 베스트 댓글 1위 삭제됨 게이버 수작 부린다","스토리작가님을 위해 한 마디 올립니다
저희는 이 웹툰이 재미없거나 싫어서 별점을 낮추는 것이 아닙니다
더이상의 설명은 없어도 다들 아시겠죠.
1점 드리겠습니다","양심있다면 다 알리고 당당히 연재해 주세여. 네이버라는 대기업 뒤에 숨는 것이  아니라요. 라는
베댓 좋아요를 눌렀더니... 삭제된 댓 이라고 뜨는 군요.... 확실히 댓글을 삭제 한다는 것을 알게 되었네요",남의 눈에 눈물나게하면 본인 눈에 피눈물 나요 작가님~,"님들 이거 한개는 확실히 정리할게요
블레이드 노트의 그림(송지형)/스토리(윤준식)작가가 각각 블로그에 해명글을 올렸는데, 글은 그림작가가 먼저 올렸는데 내용은 스토리작가가 먼저 연재중단을 했다는 식의 내용인데 근거는 부실했어요, 근데 그걸 본 스토리작가가 자기 블로그에 반박글을 올렸는데, 누가봐도 그림작가보다 논리도 내용도 근거도 명확했어요 그런데 그 후에 그림작가가 블로그를 터뜨렸어요. 이게 무슨 의미일까요?
시시비비가 안갈렸다곤 해도, 결국 찔리니깐 블로그를 터뜨리면서까지 숨기는거 아닐까요?","아니 네이버 뎃글삭제 할수있으면 왜 악플이나 성적인글,욕설,패드립등이 난무할땐 관리안해주고 뭐했냐",이 웹툰 이름값 하네 네이버 웹툰의 버그,"1점 계보다
1대 럭키짱
2대 공감 jpg
3대 고민툰
4대 ""버그""",근데 이 웹툰 스토리 작가님은 무슨죄임,"이웹툰으로 갱생할 수 있죠.
근데 공식적인 사과없이 잘못을 묻으려 하는건 잘못된일 아닌가요? 해명,사과를 요청하는바인데 이걸 무시하고 댓글까지 삭제하면 대체 어쩌라는걸까요? 나는 죄 없다. 사과할 생각없다. 이런입장으로만 보여요;; 인간적으로 해명이나 사과는 해야하는게 도리아닌가요?",False,False,False,True,False,False,False,False,True,False
2,21593,21593,552960,193,3.31,25801,일어서라 1점 일어서라 분량,이 분량은..... 설마....?,이렇게 연재할꺼면 그냥 휴재하고 세이브 원고 쌓아서 다시 와라..,거의 촉수물 ;; ㄷㄷ,분량 고수의 10분의1쯤되는듯,에미야 분량이 짜구나,아니 이년이 분량이 짜다는데 어디서 말대꾸야!,작가님 작품 연재하시면서  독자들의  의견을  무시하시는건가요? 아니면  우습게 여기시는건가요? 웹툰의  가장  큰  장점은  독자들과의  직접적인 소통이라고  생각합니다. 제발  베댓님들  의견 좀  반영해주세요.,애미야 이럴거면 이혼해라,이혼하면 돈이 없어요,False,False,False,True,True,True,False,False,False,False
3,25512,25512,670139,117,3.32,199739,"2학년 2위 2반 홍진호라니..
노렸네 노렸어","다들 미쳤나봐 별점 2.22맞추겠다고 
좋은 웹툰에 이짓을 하고 있어
할수 없이 동참한다...","죄송합니다... 2.22를 맞추기위해 1점드립니다
죄송합니다... 2.22를 맞추기위해 1점드립니다","홍진호가 나온 순간 별점은 포기해야합니다
홍진호가 나온 순간 별점은 포기해야합니다","인비테이셔널클래식대회2위
kt정규리그 2위
인텔베스트커플전2위
tg삼보배 2위
올림푸스 온게임넷 2위
wcg개인배 2위
kpga 1차 2차 모두2위
코카콜라 온게임넷배 2위
청오통신배 2위
game racer배 개인전 2위
한빛소프트배2위
2남중2째
부활남 2학년2반서열2위
거너무한거아니오 작가양반",2점을 맞추겠다고 2점을주는 호구가 없기를 바랍니다,"네이버 전통이라 어쩔수없음
네이버 전통이라 어쩔수없음","작가야 미얀하다 2.2를 맟추기 위해서 1점줬다
작가야 미얀하다 2.2를 맟추기 위해서 1점줬다",10점테러하지마라,"만약 2등을 뽑는 대회가 있다면 홍진호는 그 대회에서 1등일까 2등일까?
만약 2등을 뽑는 대회가 있다면 홍진호는 그 대회에서 1등일까 2등일까?",True,False,False,False,False,False,False,False,True,True
4,30886,30886,557676,92,3.4,201694,"어쨋든 솔직히 요즘은 동태랑 미오랑 됬으면
좋겠다 손
솔직히 은주는 좀 태빈이 생각만하고 지 안전만
챙기는 느낌 난다..","추측 해보자면 수비팀은
무영이와 동태일 확률이 높습니다
기본적으로 공격팀이 수비팀보다는 많은 인원이
모일수있는 역할이기때문이고 이 게임에서 지면
프로필이 드러나게되죠 따라서 무영이는 수비팀에 들어가
공격팀을 지게 되는 상황이 되어 8명의 능력 프로필이 들어나게되고 자기에게 없는 능력을 가진 다이서를 사냥할꺼같네요","나중에 가서 알게 되겟지
아..10점 준 나는 눈치없는 바보 였구나 라고","이번화는 10점이 별점테러다 
이번화는 10점이 별점테러다",제가 아직도 별점2.22로 맞추자는 말을 이해 못하신분들을 위해서 다시한번 설명해드리겠습니다.작가님이 홍진호 프로게이머를 좋아하시는데 이번에 홍진호 프로게이머가 새로운 프로그램을 시작하기도 했고(홍진호 프로게이머는 숫자2랑 굉장히 많은 괸련이 있는 선수임)이번화 내용도 숫자2랑 관련이 있기도 하고 해서 작가님이 2.22로 맞추자고 한겁니다.이제 아셨으면 딴분들도 보게 베댓좀 올려주세요.,"이만화의 제목 'gambit'이라는뜻은 '판세를 유리하기위해 초반에 자기 말을 희생하는것' 이라 나와있습니다
아직 의도적으로 작가님이 떡밥을 푸시진 않았는데 추측으로하면 1.공격팀중에 수비를도와주는일을 한다거나,
2.아예 배신을하고 수비로가거나 제머리로는 여기까지인데  분명 팀을정한다고햇지 팀을 못바꾼다곤 안했습니다
이 공성전에서 지켜봐야될것은 공개되지않은 중립의 역할,공격팀이름공개,중립이름공개,주인공버프의 위력,그다음의 제일중요한 은주. 은주의 역할도 중요하다고 생각합니다 또한 엑스가 이렇게 밸런스를 무너뜨린다는건 이해할수 없습니다 선생은무조건 공격역할이고,따지고보면 선생의역할도 중요하다고 볼수있습니다.조금더 파헤치자면 주의 비A랭커(A랭커가아닌놈)즉 A랭커발바닥빠는놈들의 역할도 중요하다고 생각합니다","ilye.
그럼 내가 묻겠는데.
만약 작가님이 2.22맞춘거 보고 뭐라 생각하시겠어?
'하 진짜 별점테러 때문에 평점 개판났네 ㅠㅠ'
이러실까
'아니 진짜 맞추네 이 미친놈들잌ㅋㅋㅋㅋㅋ'
이러실까?

잘 판단해보고 어느쪽이 더 현실적인지 생각해봐라",2.22맞추겠다고 2점 누르지마  지금은 콩신교가 밀리고있다  1점으로 딜넣어,"1.작가님 콩진호 팬임.
2.콩진호 얼마전 방송에서 핸드폰으로
   다이스 보는거 찍힘.
3.카페에 사람들이 글올리고 작가님도
   콩진호가 다이스보는거 알게됨.
4.작가님이 콩진호가 자기 웹툰 본다고 
   좋아했음.
5.이번엔 스토리상 숫자2가 나오면서
   작가님은 마지막 작가의 말에
  숫자2는 영엄한 숫자. 숫자2는 영엄한 숫자
  글자 사이에 .을 넣어서 2.2를 만드심
6.그걸 보고 센스 넘치는 독자들이
   평점2.2만들어줌.
7.그런데 나처럼 눈치없는 독자가 10줌...망
",작가님이 달라잖니 초딩들아,True,True,True,True,True,False,False,False,True,False
5,24083,24083,724431,2,3.44,28306,베댓 왜 지우시는거죠??? 네이버 대답해주세요 전 작가님의 잘못은 전례없는 일인 만큼 많은 대중들이 알아야 한다고 생각합니다. 스토리 작가와 그림 작가는 분업이 되어있는 관계로써 그 관계를 넘어 스토리작가의 글을 무시하고 독자적으로 연재를 하는 일은 부당하다는 것을 왜 독자들이 알면 안됩니까.. 네이버는 복귀시켰을 때의 뒷감당을 예상하지 못하셨나요? 전과에 대한 책임은 지셔야죠. 댓삭을 통한 책임회피는 옳지않습니다. 네이버담당자와 그림작가님이 보게 올랴주세요!,송지형 그림에 손제호 스토리 어떰? 조합 미쳤는데,상황모르는 사람들을 위한 설명을 하자면 그림작가가 전작 블레이드 노트에서 글작가한테 무리한요구를 하면서 작품을 폭8시켜버린 경력이 있어서 사람들이 빡친겁니다,블레이드노트 진짜 내 인생웹툰이었는데... 너무 아쉬웠음.. 나조차도 이렇게 아쉬운데 스토리작가분은 얼마나 마음이 찢어졌을까를 생각하면 도저히 용서가 안됨...,"내일 할일 
1.방청소
2.설거지
3.네이버에게 삭제당한 썰풀기",베댓이 삭제되는것도 버그인가????,좋은 작품 하나 폭팔시켜놓고 차기작 준비해서 이렇게 나오면 사람들이 얼씨구나받아주겠냐 사과부터해라 독자들 기만하는 행위다,어짜피 그림작가 마음대로 스토리 진행 시킬꺼면서 스토리작가는 따로 왜 구하신건가요?,님들 블레이드 노트 자체를 네이버가 없애 버렸음ㅋㅋㅋㅋㅋㅋ 작가들끼리 합의를 그렇게했는지 모르겠는데 그림작가 이미지 환골탈태하려는 거면 이미 실패다^^,블레이드 노트 폭8사건은 협업하는 작가간의 모호한 협력관계의 허점을 악용한 안좋은 선례이기 때문에 이런 작가를 계속 연재하도록 한다는건 웹툰계에 문제의 여지가 될 수 있습니다,False,False,False,False,False,False,False,False,False,False
6,24082,24082,724431,1,3.7,31591,블레이드 노트라는 대작이 하나 있었는데 이만화 그림작가하고 지금은 완결난 엔드리스 글작가님 작품이었는데 중간에 여기 그림작가님이 글작가님 완전히 무시하고 지기 독단으로 스토리를 진행시켜버림 두작가님 대판 싸우고 결국 그림작가는 사과안해서 블레이드노트는 사라짐 그래놓고 다시 여기서 연재...그리 좋게보이진 않음,제 베스트댓글이 사라졌습니다.. 네이버의 조작댓글의 실태를 적나라하게 보여주네요! 많은분들이 볼 수 있게 올려주세요!,와 진짜 네이버 극혐이다;; 블노 삭제해버리네,"연재중단한 사실을 댓글로썼는데, 그걸 왜 네이버측에서 삭제를하시는거죠?","블레이드노트란? 몇년 전 통보식으로 급 연재종료된 웹툰으로 특별한 검과 능력을 가진 흰색의 머리 청년의 에피소드를 다룬 거닷!! 그림작가와 스토리작가와의 트러블로 인해 연재종료가 되었는데,
 그림작가(송지형)가 스토리가 맘에 안 든다고 스토리작가(윤준식)를 배제시킨 뒤 네이버와 시즌2를 이어나가려고 했으나 네이버의 규칙상 공동저작물이므로 그럴 수 없었기 때문에 무산이 되었다.

지금이라도 보려면 스토리작가를 따라 작품을 이어나가야 하지만 자존심싸움으로 이어나갈 수 없는 상황이 되었다.",다들 기억하고잇규나 블레이드노트라는 한때 레전드 후보 웹툰이엿눈데 이그림작가가 인기가 갑자기느무 많아버려서 돈에 눈이돌아버려서 웹툰 사단내고 복귀작이 이웹툰이랑말씀 수토리작가분에게는 죄송하지만 이건 별점을 테러해야게뜸,와 네이버가 삭제시켰어 베뎃,댓글 사라지는거 어케 생각함? ㅋㅋㅋㅋㅋㅋ열일하네 네이버,"네이버 댓삭하지 마세요^^
https://m.blog.naver.com/PostView.nhn?blogId=recure&logNo=220632991614&proxyReferer=https%3A%2F%2Fm.blog.naver.com%2Fineedu9718%2F221153205699 이 블로그 글은 블레이드 노트 스토리 작가셨던 윤준식 작가님이 실제로 사실 해명하신 글입니다. 
베스트 댓글에도 올려져있다시피, 그림 작가가 과도하게 스토리나 대사 등에 간섭을 해서 갈등이 벌어진 것입니다. 그림 작가는 스토리 작가와 둘이서 함께 창작한 공동 창작 웹툰을 자기 혼자 만들어낸, 자기 것이라도 주장을 했답니다. 뿐만아니라 캐릭터 디자인을 자신이 했으므로 그 캐릭터 역시 자기 것이라고 했다군요. 제 2의 신의 탑이 될 것이라는 얘기까지 돌던 블레이드 노트라는 웹툰을 산산조각 내고서 뻔뻔히 작품을 들고 돌아오셨네요. 어디 얼마나 갈지 봅시다. ",해마작가는 뭔죄지ㅜ.ㅜ,False,True,False,False,False,False,False,False,False,False
7,21550,21550,552960,150,3.78,43387,알고보니 지한이가 아닌 적이었다. 지한이라고 믿은 반장은 지한이로 변장한 적의 공격에 그만 죽고 말았다,별점을 보고 알았다. 그녀가 나타났다는것을!,"나진짜 별점 잘주려고했다..

그래 반장 나온거 난 상관없어

근데 스킬 저딴식으로 써대는게 진심 보기싫다 나만그래??",지한 : 반장 피해~!!! 연속 마법 화살...  (그리고 반장은 피해지 못했다고 한다...),"이건 드디어 작가님이 반장을 떼어낼거같은 느낌이 드네요
떡밥으로 일단 대미궁에 들어왔던사람들이 능력을 쓸수있게된건데 그 대미궁을 만든애가 신으로 변한거죠 그러고 지한이는 반장과 새로 나온 신의 관계를 끊어버리고 싶다고 얘기했습니다. 환성곤은 그 방법이  신을 부정하면 된다는 아주 간단한 방법으로 제안을하였습니다 즉 반장이 신을 부정하게 되면 반장은 곧 능력을 잃어버린다는 소리죠 ㅎㅎ 곧 반장이 사라질날이 머지않았네요

네 사실 많은분들 보시라고 베뎃좀가고싶습니다...",반장은 하야하라,반장은 하야해라,"작가님 고르세요
1. 반장을 죽인다
2. 반장을 잔인하게 죽인다
3. 반장을 끔찍하게 죽인다
4. 반장을 아무도 모르게 죽인다
5. 반장을 당당하게 죽인다
6. 어느순간 스토리에서 반장이 사라진다
7. 반장한테 마법 알려준건 지한이의 꿈이였다",왘ㅋㅋㅋㅋㄱㄱㅋㄱ 진짜 반장 나오니깐 별점 확 줄어버리넼ㅋㄱㄱㄱㄱ 그런의미로 저도 1점주고 가겠습니다,그녀의MP가 전부소모되는 바람에 그녀는 떨어지고 말았다. 지한이는 구하려 했지만 이미 그녀는 싸늘한 시체가 되어있었다.,False,True,True,True,True,True,False,True,False,True
8,11789,11789,626907,47,3.84,152051,오바마대통령이 이 만화보면 뭔가 불쾌할꺼같다..,이건솔까오바다 내존경의대상을이따위쓰레기로만들다니,이러다 잡혀간다,다른나라대통령모시고 저런물그리는거좋지않다고생각합니다. 엄연한 한나라를 다스리시는분이신데 저런건좀..,이거 오바마모욕아님?장난하나,"하..  작가님 독자로써 한마디만하겟습니다
이번화정말실망입니다",이거 국제망신 각인데ㅋㅋㅋ,오바마알면 기절할듯ㅋㅋㅋㅋㅋㅋㅋ,지금까지 그냥 병맛나와도 그냥 그러려니 했는데 실존 인물로 이러니까 기분이 좀 그럼..ㅋㅋ... 미국 대통령자체는 유명하니까 개그 요소로 그려넣을수도 있지 근데 그걸로 불륜 분위기 연출시키고 사람들앞에서 농락시키는듯하게 그려넣으니까 그냥 보기가 좀 그렇다.. 막장도 정도껏이지 차라리 기안 작가는 좀 머리좀 식히고 오는게 어떤가...,기안님 또 점점 산으로 가시네 진짜 ...,False,False,True,False,False,False,False,True,False,False
9,19812,19812,318995,410,3.94,39633,아 진짜 가지가지한다.. 별 듣보잡으로 나타난 x세대도 마음에 안드는데 완전군장이 국보에다가 이상한 로봇에다가 지네마음대로 공진을하지않나 예전부터 자잘자잘한 설정오류에 작가님 연재하기싫으면 싫다고 하십쇼 추해집니다 점점,옆옆옆동네였던 귀족웹툰 생각나네ㅋㅋㅋㄱㄱㅋㅋ이것도 핵으로 지구멸망입디까?,"완전군장이 국보인거 ㅈㄴ 토나온다.
굳건이 저 놈만은 어떻게든 여기서 죽어야된다.","x세대가 빡치는 이유는 뜬금없이 얼굴한번 못 본 애들이
갑자기 나와서 ""우린 짱짱 쎈 신인류에요!!""
하고 원래 있던 기존 멤버들을 뛰어넘고 밸런스를 박살내고
원래 주인공들의 자리를 밀어냄","옆 동네는 갈비찜이였으니까.. 여기는 매운돼지갈비찜 가자.
재료:파 양파 마늘 고춧가루 돼지 갈비 감자

1. 돼지갈비를 물에 담가 핏물을 뺀다
2. 핏물 뺀 돼지갈비는 끓는 물어 살짝 데친 후 씻어준다.
3. 후라이팬에 기름을 살짝 두르고 양파를 카라멜화 되도록 볶다 파또한 같이 볶아준다.
4. 볶은 양파에 데친 갈비를 넣고 한 두번 저어준 뒤, 설탕을 넣고 다시 볶아준다
5. 설탕이 늘어 붙어 카라멜화 되면 고기가 잠길때까지 물을 넣고 끓여준다. 이 때 감자와 당근을 넣고 같이 끓인다.
6. 감자와 고기 당근이 익어가면 마늘과 간장으로 간을 맞추고, 굵은 고춧가루와 고운 고춧가루를 사용하여 빨간 빛을 내주고 농도를 잡아준다.
7. 기호에 따라 청양고추를 넣어주고 맛있게 먹는다!","2. 그리고 힐링 스킬가진 쟤는 진짜 대단한거임
옥황도 팔 재생하는데 ㅈㄴ힘들어하는데
쟨 그냥 휴대폰두드리면서 회복시켜줌
엄청난 세대다","....이건 뭐 하도 오류가 많아서 설정오류 축에도 못들지만...
이제와서 총알은 국보에 포함 안된다고요?
그럼 무신 서한량이 초반에 금제 안 풀린 상태에서 네필림한테 총이랑 바주카포로 쏴 갈긴 건 총알이나 탄도가 아니라 장풍이라도 됩니까?
작가님. 죄송하지만 최소한 본인 만화를 한 번씩 봐가며 그리는 게 어떨까 싶습니다. 뭔가 새로운 애들이 나와서 게임 캐릭터 늘어난다고 되는 게 아니에요.",군대도 안 갔다온 작가놈이 군장그려놓네,"개그만화였던게 정설의 학계
",근데 이제 국보가 별의미가있나?,False,False,False,False,True,False,False,False,True,True
